ordinal,turn_id,classe_turno,inicio,fim,latencia_segundos,trecho_usuario,nivel_acesso,input_tokens,cached_input_tokens,uncached_input_tokens_aprox,output_tokens,reasoning_output_tokens,tokens_totais,inference_events,tool_calls,tool_output_bytes,read_search_calls,write_calls,dice_calls,other_calls,routed_context_calls,raw_read_calls,schema_discovery_calls,orchestration_calls,prepare_calls,conclude_calls,par_preparar_concluir_exato,decisao_oportunidade,decisao_sem_oportunidade,decisao_ausente,modulos_observados,quantidade_modulos_observados,interaction_id,interaction_ref,referencia_visivel_exatamente_uma_vez
11,01a0a009-57f3-7092-ae4b-ceabb2d45291,mecanica,2026-09-14T13:09:22.073000+00:00,2026-09-14T13:17:50.197000+00:00,508.124,"[Esse maldito escrivão comum resistiu a DOIS agarrões. Me senti lutando contra outro monge, rs.]

Ren continua pulando de telhado em telhado, fazendo a rota mais afastada possível do porto, em direção a algum lugar que as autoridades não vã",RAW,959760,874496,85264,15473,5088,975233,22,20,54733,7,5,2,6,0,7,0,5,1,4,nao,0,1,0,[],0,interaction-22fd845f29cba624d2f6,S022-I0015,sim
12,01a0a015-9127-7562-9675-d064d2b9b611,mecanica,2026-09-14T13:22:43.161000+00:00,2026-09-14T13:25:58.182000+00:00,195.021,Resolva os primeiros socorros então.,RAW,505391,476032,29359,7936,2385,513327,7,6,27368,1,3,1,1,0,1,0,4,1,3,nao,0,1,0,"[""active_sidequest_reassessment"", ""emergent_sidequest_opportunity"", ""reactive_pressure_routing"", ""transactional_sidequest_progress""]",4,interaction-90d07fab50a10948ac8f,S022-I0016,sim
13,01a0a01b-6922-7cd3-96b3-1777d1a5e597,mecanica,2026-09-14T13:29:06.129000+00:00,2026-09-14T13:30:54.431000+00:00,108.302,"""Talvez salvar sua vida, seu barulhento"", Ren fala, com um leve ar de irritação por aquele homem simples ter evitado dois dos seus agarrões. ""Você aprendeu a lutar aonde, em Kozakura?""

Ren olha os arredores, fazendo uma pausa.

""Eu não sou",L0,341906,331008,10898,3848,1464,345754,4,3,19633,0,1,1,1,0,0,0,2,1,1,sim,0,1,0,"[""active_sidequest_reassessment"", ""emergent_sidequest_opportunity"", ""npc_social_initiative"", ""reactive_pressure_routing"", ""transactional_sidequest_progress""]",5,interaction-3f7953dd501e9fe7b01d,S022-I0017,nao
14,01a0a01f-7a43-7352-af1c-efeef6dc38a0,avanco_comum,2026-09-14T13:33:32.657000+00:00,2026-09-14T13:40:17.631000+00:00,404.974,"""Darran... você estava de ronda ontem no porto, junto do livro de carga, como de costume. Alguém veio te pedir urgência num documento que solicitava cópias de documentos de transporte para a Galeria dos Escribas?""

Antes dele responder, Ren",L4+RAW,2062122,2022144,39978,12958,6593,2075080,19,18,85523,12,3,0,3,4,8,0,6,3,3,nao,0,3,0,"[""active_sidequest_reassessment"", ""emergent_sidequest_opportunity"", ""npc_social_initiative"", ""reactive_pressure_routing"", ""transactional_sidequest_progress""]",5,interaction-b73f6a1e3ead009b5e52,S022-I0018,nao
15,01a0a029-873a-7f81-b122-257cb7062283,mecanica,2026-09-14T13:44:31.363000+00:00,2026-09-14T13:47:14.503000+00:00,163.14,"""Não por ele... mas pelas pessoas que ele representa. Pensa comigo, Darran: eles querem as cópias pra encobrir algo. Imagina que eles consigam. Vão falsifica-las, trocar os originais pelos falsificados e tá feita a cobertura. Depois que ele",L0,534294,521600,12694,4961,3015,539255,4,3,21550,0,1,1,1,0,0,0,3,2,1,nao,0,2,0,"[""active_sidequest_reassessment"", ""emergent_sidequest_opportunity"", ""npc_social_initiative"", ""reactive_pressure_routing"", ""transactional_sidequest_progress""]",5,interaction-66e5187d05717b6ecf78,S022-I0019,nao
16,01a0a02f-f7cd-7fe2-811f-9671a08ae3c4,mecanica,2026-09-14T13:51:33.376000+00:00,2026-09-14T13:54:31.499000+00:00,178.123,"""Então você vem comigo, sem fazer barulho dessa vez, seu campeão de luta-livre. Combinado? Precisamos nos afastar um pouco antes da ronda chegar aqui.""

Se ele topar, Ren começa a se afastar com Darran, por terra, para o mais longe possível",L2+RAW,1317354,1301504,15850,5437,2443,1322791,9,8,29474,4,1,1,2,2,2,0,3,2,1,nao,0,2,0,"[""active_sidequest_reassessment"", ""emergent_sidequest_opportunity"", ""reactive_pressure_routing"", ""transactional_sidequest_progress""]",4,interaction-20a5c30461916aa0f145,S022-I0020,sim
17,01a0a038-8a24-74f3-8bb2-96c9d7c32d43,mecanica,2026-09-14T14:00:55.127000+00:00,2026-09-14T14:03:43.478000+00:00,168.351,"""Você provavelmente já deve ter percebido que, ultimamente, a atenção ao porto tem aumentado. Muitos kozakuranos têm chegado. Deve ter visto uns kozakuranos mal encarados rondando o porto, perguntando por carga, por armazém e coisa do tipo,",L2,806959,791808,15151,5137,2846,812096,5,4,28661,1,1,1,1,1,0,0,3,2,1,nao,0,2,0,"[""active_sidequest_reassessment"", ""emergent_sidequest_opportunity"", ""npc_social_initiative"", ""reactive_pressure_routing"", ""transactional_sidequest_progress""]",5,interaction-4bae8b244c8e39e822b7,S022-I0021,nao
18,01a0a044-f5d6-7911-b439-983f34fac49f,avanco_comum,2026-09-14T14:14:29.125000+00:00,2026-09-14T14:16:44.196000+00:00,135.071,"Ren olha pra Darran.

""Nós vamos ter uma oportunidade de pegar esse homem de casaco cinza em algumas horas. Se nós o pegarmos... vamos eliminar exatamente a pessoa que pode ligar você a tudo isso. Mas pra pegarmos ele vou precisar da sua co",L0,536160,523392,12768,4605,2584,540765,3,2,21166,0,1,0,1,0,0,0,3,2,1,nao,0,2,0,"[""active_sidequest_reassessment"", ""emergent_sidequest_opportunity"", ""npc_social_initiative"", ""reactive_pressure_routing"", ""transactional_sidequest_progress""]",5,interaction-f80eb0c7e45699fb11d8,S022-I0022,nao
19,01a0a078-2dea-7f11-b292-db336f87b8d8,avanco_comum,2026-09-14T15:10:25.822000+00:00,2026-09-14T15:14:35.063000+00:00,249.241,"[AVALIAÇÃO S022-I0022 — Ren nunca falou de Tomas para Darran e este começou a falar daquele.]

""Ok, isso é bom. Vou precisar disso. Agora, outra coisa: eu vou te colocar como testemunha protegida na Casa de Tyr. Tenho amigos lá e eles poder",RAW,717321,676224,41097,6118,2458,723439,16,14,66047,7,2,0,5,0,7,1,3,2,1,nao,0,2,0,"[""active_sidequest_reassessment"", ""emergent_sidequest_opportunity"", ""npc_social_initiative"", ""reactive_pressure_routing"", ""transactional_sidequest_progress""]",5,interaction-9d9d57764c4dc9ad487d,S022-I0023,sim
20,01a0a07f-5c65-7691-9d47-da44887b35f4,avanco_comum,2026-09-14T15:18:16.472000+00:00,2026-09-14T15:23:36.843000+00:00,320.371,"""Eu jamais deixaria você na porta, Darran"", fala Ren, tentando passar confiança.

Ren pede papel e tinta ao empregado da soparia. Espera Darran assinar e grava-o num bolso. Depois partem para Tyr.

""A propósito... você tem família aqui em R",L3+RAW,1476589,1439104,37485,10665,5645,1487254,22,21,83260,14,2,0,5,6,8,2,3,1,2,nao,0,1,0,"[""active_sidequest_reassessment"", ""emergent_sidequest_opportunity"", ""npc_social_initiative"", ""reactive_pressure_routing"", ""transactional_sidequest_progress""]",5,interaction-c7a98eb6c6156d1e17b8,S022-I0024,sim
21,01a0a089-a7bb-7823-b329-bb2319295c61,fronteira_temporal,2026-09-14T15:29:31.117000+00:00,2026-09-14T15:46:39.804000+00:00,1028.687,"""Não, era só curiosidade mesmo, talvez tivéssemos que proteger parentes seus"", Ren fala, despistando.

Ren levará Darran até Halessa, em Tyr. No caminho, ainda perguntará a Darran se o soco ainda está dolorido. Em Tyr, falará que Darran pre",L2+RAW,7765999,7650816,115183,40678,20236,7806677,53,52,227446,26,9,1,16,2,24,1,12,6,6,nao,0,6,0,"[""active_sidequest_reassessment"", ""liveness_boundary"", ""npc_social_initiative"", ""persistent_world_conditions""]",4,interaction-40588c6134545b95b135,S022-I0027,sim
22,01a0a0b8-592c-7f00-a329-2ee1e9b23809,avanco_comum,2026-09-14T16:20:31.217000+00:00,2026-09-14T16:31:05.622000+00:00,634.405,"Ren se despede de Halessa, agradecendo-a.

Depois vai até Darran.

""Obrigado por cooperar, Darran. Espero que entenda porque agi como agi hoje... o objetivo não era te machucar. Teria sido mais fácil se você não tivesse treinado tanto.""

De",L1+RAW,3612108,3524352,87756,20561,8016,3632669,39,36,144535,23,5,0,8,1,22,6,5,3,2,nao,0,3,0,"[""active_sidequest_reassessment"", ""adversarial_integrity"", ""emergent_sidequest_opportunity"", ""npc_social_initiative"", ""quest_rewards"", ""reactive_pressure_routing"", ""transactional_sidequest_progress""]",7,interaction-6f9554a5c095ee4dfae0,S022-I0028,sim
23,01a0a0c5-7882-79a2-b706-03f09e3c341b,avanco_comum,2026-09-14T16:34:51.179000+00:00,2026-09-14T16:36:56.222000+00:00,125.043,"Ren parte em direção à Tomas. Irá pelo caminho tradicional: sombras nos telhados, usando agora a capa que dera pra Darran por cima das roupas ninja.",L2,547971,533504,14467,4681,2218,552652,7,6,27430,3,1,0,2,3,0,0,2,1,1,sim,0,1,0,"[""active_sidequest_reassessment"", ""emergent_sidequest_opportunity"", ""npc_social_initiative"", ""reactive_pressure_routing"", ""transactional_sidequest_progress""]",5,interaction-2b7bba27fccae73967e4,S022-I0029,sim
24,01a0a0ce-91e2-7d92-8509-52b05906ce74,avanco_comum,2026-09-14T16:44:47.504000+00:00,2026-09-14T16:46:54.780000+00:00,127.276,"[Perfeito.]

Ren então se aproxima da Galeria. Começa a estudar as linhas de sombras que permitam se aproximar discretamente e encontrar Tomas.",L0,288531,277376,11155,4966,2860,293497,3,2,15847,0,1,0,1,0,0,0,2,1,1,sim,0,1,0,"[""active_sidequest_reassessment"", ""emergent_sidequest_opportunity"", ""reactive_pressure_routing"", ""transactional_sidequest_progress""]",4,interaction-c597efd49221a2f0e327,S022-I0030,sim
25,01a0a0d3-00c1-7640-b20c-aad4e2a46312,mecanica,2026-09-14T16:49:38.033000+00:00,2026-09-14T16:51:31.518000+00:00,113.485,"Ren usa a melhor escolha de sombras que o permita entrar e aparecer próximo a Tomas, de forma discreta.

""Tomas"", Ren fala, já entendendo que ele irá se assustar, mas dando tempo pro susto passar. ""Desculpe, nesse horário é assim que dá pra",L0,424857,414080,10777,4502,1822,429359,4,3,17953,0,1,1,1,0,0,0,2,1,1,sim,0,1,0,"[""active_sidequest_reassessment"", ""emergent_sidequest_opportunity"", ""npc_social_initiative"", ""reactive_pressure_routing"", ""transactional_sidequest_progress""]",5,interaction-374cf4450a805695e1aa,S022-I0031,sim
26,01a0a0da-3dab-76a0-8078-0cc51384a95f,avanco_comum,2026-09-14T16:57:32.385000+00:00,2026-09-14T17:03:25.946000+00:00,353.561,"[AVALIAÇÃO S022-I0031 — não sei se essa é uma avaliação pertinente, mas Ren tira muitos dados baixos o tempo todo, rs. Só nessa sessão ele, um ninja treinado, não conseguiu agarrar um homem comum. Duas vezes. Não conseguiu fugir despistando",L2+RAW,1459091,1433984,25107,14584,6486,1473675,12,11,28859,5,2,0,4,1,4,0,3,1,2,nao,0,1,0,"[""active_sidequest_reassessment"", ""emergent_sidequest_opportunity"", ""npc_social_initiative"", ""reactive_pressure_routing"", ""transactional_sidequest_progress""]",5,interaction-6aae7157b7a063be2744,S022-I0032,sim
