event_id,session_id,turn_id,turn_ordinal,interaction_id,interaction_ref,analysis_unit,module_id,capability_id,call_ids_observed,signal_sources,eligibility_observed,activation_observed,observed_result,materialized_result_observed,effect_observed,observable_evidence,inference_confidence,adjudication,cost,detector_version,module_implementation_version,module_evaluation_version
ml2:1:scene_world_projection:local_incidents,01a09f66-45b5-7b90-9821-632d08dc446f,01a09f69-4507-7741-a426-c4ec8b23b356,1,interaction-9d87fd8ecd8cc24d73b2,S022-I0003,cena,scene_world_projection,local_incidents,"[""call_B6L4Vb3mFVTCqHHrJV93SOaE"", ""call_jJasSWQ1PLsVfTXYQNalEFfs"", ""call_khSVUKiT9ssm9vfR93QoUBUA""]","[""comando"", ""output""]",sim,gate_neutro,projecao_espacial_neutra,,,"[""command:spatial_trigger_transito_urbano"", ""output:spatial_projection_gate"", ""command:spatial_trigger_permanencia_local""]",alta,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 1034880, ""input_tokens"": 1093431, ""output_tokens"": 14874, ""total_tokens"": 1108305, ""uncached_input_tokens_approx"": 58551}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""primario"", ""parent_attributed_additive"": {""cached_input_tokens"": 114987, ""input_tokens"": 121492, ""output_tokens"": 1653, ""total_tokens"": 123145, ""uncached_input_tokens_approx"": 6506}}",3.0.4,1.0.0,3.0.0
ml2:1:scene_world_projection:persistent_conditions,01a09f66-45b5-7b90-9821-632d08dc446f,01a09f69-4507-7741-a426-c4ec8b23b356,1,interaction-9d87fd8ecd8cc24d73b2,S022-I0003,cena,scene_world_projection,persistent_conditions,"[""call_jJasSWQ1PLsVfTXYQNalEFfs"", ""call_khSVUKiT9ssm9vfR93QoUBUA""]","[""output""]",indeterminada,consulta,condicoes_persistentes_consultadas,,,"[""output:persistent_conditions_gate""]",alta,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 1034880, ""input_tokens"": 1093431, ""output_tokens"": 14874, ""total_tokens"": 1108305, ""uncached_input_tokens_approx"": 58551}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""exposicao_apenas"", ""parent_attributed_additive"": {""cached_input_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 0, ""total_tokens"": 0, ""uncached_input_tokens_approx"": 0}}",3.0.4,1.0.0,3.0.0
ml2:1:scene_world_projection:spatial_continuity,01a09f66-45b5-7b90-9821-632d08dc446f,01a09f69-4507-7741-a426-c4ec8b23b356,1,interaction-9d87fd8ecd8cc24d73b2,S022-I0003,cena,scene_world_projection,spatial_continuity,"[""call_jJasSWQ1PLsVfTXYQNalEFfs"", ""call_khSVUKiT9ssm9vfR93QoUBUA""]","[""output""]",sim,decisao,reserva_espacial_criada,,,"[""output:spatial_reservation_created""]",alta,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 1034880, ""input_tokens"": 1093431, ""output_tokens"": 14874, ""total_tokens"": 1108305, ""uncached_input_tokens_approx"": 58551}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""exposicao_apenas"", ""parent_attributed_additive"": {""cached_input_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 0, ""total_tokens"": 0, ""uncached_input_tokens_approx"": 0}}",3.0.4,1.0.0,3.0.0
ml2:1:world_boundary_resolution:temporal_liveness,01a09f66-45b5-7b90-9821-632d08dc446f,01a09f69-4507-7741-a426-c4ec8b23b356,1,interaction-9d87fd8ecd8cc24d73b2,S022-I0003,fronteira,world_boundary_resolution,temporal_liveness,"[""call_eX3jFIOX3RRo2fZBcPLzMFX2""]","[""output""]",indeterminada,gate_neutro,resultado_neutro,,,"[""output:schema_fronteira_vivacidade"", ""output:fronteira_vivacidade_nv14"", ""output:calma_justificada""]",media,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 1034880, ""input_tokens"": 1093431, ""output_tokens"": 14874, ""total_tokens"": 1108305, ""uncached_input_tokens_approx"": 58551}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""primario"", ""parent_attributed_additive"": {""cached_input_tokens"": 114986, ""input_tokens"": 121492, ""output_tokens"": 1652, ""total_tokens"": 123145, ""uncached_input_tokens_approx"": 6505}}",3.0.4,1.0.0,3.0.0
ml2:1:causal_narrative_routing:reactive_pressure_arbitration,01a09f66-45b5-7b90-9821-632d08dc446f,01a09f69-4507-7741-a426-c4ec8b23b356,1,interaction-9d87fd8ecd8cc24d73b2,S022-I0003,turno,causal_narrative_routing,reactive_pressure_arbitration,"[""call_B6L4Vb3mFVTCqHHrJV93SOaE"", ""call_jJasSWQ1PLsVfTXYQNalEFfs"", ""call_khSVUKiT9ssm9vfR93QoUBUA""]","[""output""]",indeterminada,consulta,marcador_observado,,,"[""output:schema_pressao_narrativa"", ""output:pressao_narrativa:""]",media,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 1034880, ""input_tokens"": 1093431, ""output_tokens"": 14874, ""total_tokens"": 1108305, ""uncached_input_tokens_approx"": 58551}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""primario"", ""parent_attributed_additive"": {""cached_input_tokens"": 114987, ""input_tokens"": 121493, ""output_tokens"": 1653, ""total_tokens"": 123145, ""uncached_input_tokens_approx"": 6506}}",3.0.4,1.0.0,3.0.0
ml2:2:context_and_memory:routed_context_access,01a09f66-45b5-7b90-9821-632d08dc446f,01a09fa4-8c78-7350-baf1-97e79911cd04,2,interaction-632d5f72e037c0c9ffa3,S022-I0005,turno,context_and_memory,routed_context_access,"[""call_KNJE8qKN9Ejv5cglPXZn3o0P"", ""call_wTChqP7YKUx1NC2ynMmHghlM"", ""call_ZPE7ZSBODESlraOpBmqLUe8a"", ""call_qdwmVuDp7zdVSanWdh46KgNL"", ""call_SVQtfkYoVHcVv1HijLSN9vz8"", ""call_FW4vUDZcgBB4ULG7C6NbwJ4L"", ""call_nBagxhz81TAANVlNM1jLwvLs"", ""call_57fUPAaELPRg8a6x7v3qo3f3""]","[""comando"", ""output""]",sim,consulta,acesso_cru_sem_justificativa,,nao,"[""command:raw_read"", ""command:routed_context_l2"", ""command:routed_context_l3""]",alta,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 1481216, ""input_tokens"": 1508040, ""output_tokens"": 8836, ""total_tokens"": 1516876, ""uncached_input_tokens_approx"": 26824}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""primario"", ""parent_attributed_additive"": {""cached_input_tokens"": 185152, ""input_tokens"": 188505, ""output_tokens"": 1105, ""total_tokens"": 189610, ""uncached_input_tokens_approx"": 3353}}",3.0.4,1.0.1,3.0.0
ml2:2:turn_and_session_orchestration:transactional_turn,01a09f66-45b5-7b90-9821-632d08dc446f,01a09fa4-8c78-7350-baf1-97e79911cd04,2,interaction-632d5f72e037c0c9ffa3,S022-I0005,turno,turn_and_session_orchestration,transactional_turn,"[""call_soHs5bn7djbVjDfZCsJb0VWt"", ""call_tf4ZxAM8wtJ70joR0aWNgzDW"", ""call_eA11cNze3hr853RhSqaDrIKn""]","[""comando"", ""output"", ""ticket""]",sim,efeito,ciclo_concluido_apos_retry,turno_commitado,sim,"[""command:cronica_preparar"", ""command:cronica_concluir"", ""ticket:correlation_present"", ""output:versioned_orchestration_receipt""]",alta,,"{""attribution_class"": ""controle"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 1481216, ""input_tokens"": 1508040, ""output_tokens"": 8836, ""total_tokens"": 1516876, ""uncached_input_tokens_approx"": 26824}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""primario"", ""parent_attributed_additive"": {""cached_input_tokens"": 185152, ""input_tokens"": 188505, ""output_tokens"": 1104, ""total_tokens"": 189609, ""uncached_input_tokens_approx"": 3353}}",3.0.4,1.0.1,3.0.0
ml2:2:turn_and_session_orchestration:idempotent_commit,01a09f66-45b5-7b90-9821-632d08dc446f,01a09fa4-8c78-7350-baf1-97e79911cd04,2,interaction-632d5f72e037c0c9ffa3,S022-I0005,turno,turn_and_session_orchestration,idempotent_commit,"[""call_soHs5bn7djbVjDfZCsJb0VWt"", ""call_eA11cNze3hr853RhSqaDrIKn""]","[""output""]",sim,consulta,commit_sem_prova_exatamente_uma_vez,,,"[""output:exactly_once_receipt""]",alta,,"{""attribution_class"": ""controle"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 1481216, ""input_tokens"": 1508040, ""output_tokens"": 8836, ""total_tokens"": 1516876, ""uncached_input_tokens_approx"": 26824}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""exposicao_apenas"", ""parent_attributed_additive"": {""cached_input_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 0, ""total_tokens"": 0, ""uncached_input_tokens_approx"": 0}}",3.0.4,1.0.1,3.0.0
ml2:2:narrative_delivery:narrative_density,01a09f66-45b5-7b90-9821-632d08dc446f,01a09fa4-8c78-7350-baf1-97e79911cd04,2,interaction-632d5f72e037c0c9ffa3,S022-I0005,turno,narrative_delivery,narrative_density,[],"[""resposta""]",sim,consulta,densidade_nao_avaliada,,,"[""response:size_observed_without_quality_judgment""]",alta,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 1481216, ""input_tokens"": 1508040, ""output_tokens"": 8836, ""total_tokens"": 1516876, ""uncached_input_tokens_approx"": 26824}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""primario"", ""parent_attributed_additive"": {""cached_input_tokens"": 185152, ""input_tokens"": 188505, ""output_tokens"": 1105, ""total_tokens"": 189610, ""uncached_input_tokens_approx"": 3353}}",3.0.4,1.0.1,3.0.0
ml2:2:narrative_delivery:visible_closure,01a09f66-45b5-7b90-9821-632d08dc446f,01a09fa4-8c78-7350-baf1-97e79911cd04,2,interaction-632d5f72e037c0c9ffa3,S022-I0005,turno,narrative_delivery,visible_closure,[],"[""output"", ""resposta""]",sim,efeito,entrega_correlacionada,entrega_visivel,sim,"[""response:canonical_footer_is_last_line"", ""output:narrative_delivery_receipt""]",alta,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 1481216, ""input_tokens"": 1508040, ""output_tokens"": 8836, ""total_tokens"": 1516876, ""uncached_input_tokens_approx"": 26824}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""exposicao_apenas"", ""parent_attributed_additive"": {""cached_input_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 0, ""total_tokens"": 0, ""uncached_input_tokens_approx"": 0}}",3.0.4,1.0.1,3.0.0
ml2:2:rules_and_character_state:character_time_state,01a09f66-45b5-7b90-9821-632d08dc446f,01a09fa4-8c78-7350-baf1-97e79911cd04,2,interaction-632d5f72e037c0c9ffa3,S022-I0005,evento,rules_and_character_state,character_time_state,"[""call_tf4ZxAM8wtJ70joR0aWNgzDW"", ""call_eA11cNze3hr853RhSqaDrIKn""]","[""output"", ""ticket""]",sim,efeito,estado_commitado,estado_commitado,sim,"[""ticket:legacy_character_or_time_delta"", ""output:rules_state_commit_receipt""]",alta,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 1481216, ""input_tokens"": 1508040, ""output_tokens"": 8836, ""total_tokens"": 1516876, ""uncached_input_tokens_approx"": 26824}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""primario"", ""parent_attributed_additive"": {""cached_input_tokens"": 185152, ""input_tokens"": 188505, ""output_tokens"": 1104, ""total_tokens"": 189609, ""uncached_input_tokens_approx"": 3353}}",3.0.4,1.0.0,3.0.0
ml2:2:sidequest_authoring:opportunity_gate,01a09f66-45b5-7b90-9821-632d08dc446f,01a09fa4-8c78-7350-baf1-97e79911cd04,2,interaction-632d5f72e037c0c9ffa3,S022-I0005,evento,sidequest_authoring,opportunity_gate,"[""call_soHs5bn7djbVjDfZCsJb0VWt""]","[""comando""]",nao,gate_neutro,sem_oportunidade,,,"[""command:sidequest_gate_sem_oportunidade""]",alta,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 1481216, ""input_tokens"": 1508040, ""output_tokens"": 8836, ""total_tokens"": 1516876, ""uncached_input_tokens_approx"": 26824}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""primario"", ""parent_attributed_additive"": {""cached_input_tokens"": 185152, ""input_tokens"": 188505, ""output_tokens"": 1104, ""total_tokens"": 189609, ""uncached_input_tokens_approx"": 3353}}",3.0.4,1.0.0,3.0.0
ml2:2:sidequest_lifecycle:active_reassessment,01a09f66-45b5-7b90-9821-632d08dc446f,01a09fa4-8c78-7350-baf1-97e79911cd04,2,interaction-632d5f72e037c0c9ffa3,S022-I0005,evento,sidequest_lifecycle,active_reassessment,"[""call_soHs5bn7djbVjDfZCsJb0VWt""]","[""output""]",indeterminada,consulta,marcador_observado,,,"[""output:active_sidequest_reassessment"", ""output:sidequests_ativas_task48"", ""output:sidequests_ativas:""]",media,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 1481216, ""input_tokens"": 1508040, ""output_tokens"": 8836, ""total_tokens"": 1516876, ""uncached_input_tokens_approx"": 26824}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""primario"", ""parent_attributed_additive"": {""cached_input_tokens"": 185152, ""input_tokens"": 188505, ""output_tokens"": 1104, ""total_tokens"": 189609, ""uncached_input_tokens_approx"": 3353}}",3.0.4,1.0.0,3.0.0
ml2:2:sidequest_lifecycle:transactional_progress,01a09f66-45b5-7b90-9821-632d08dc446f,01a09fa4-8c78-7350-baf1-97e79911cd04,2,interaction-632d5f72e037c0c9ffa3,S022-I0005,evento,sidequest_lifecycle,transactional_progress,"[""call_eA11cNze3hr853RhSqaDrIKn""]","[""output""]",indeterminada,consulta,marcador_observado,,,"[""output:transactional_sidequest_progress"", ""output:progresso_sidequests:""]",media,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 1481216, ""input_tokens"": 1508040, ""output_tokens"": 8836, ""total_tokens"": 1516876, ""uncached_input_tokens_approx"": 26824}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""exposicao_apenas"", ""parent_attributed_additive"": {""cached_input_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 0, ""total_tokens"": 0, ""uncached_input_tokens_approx"": 0}}",3.0.4,1.0.0,3.0.0
