id,nome,tipo_nome,genero,raca,cultura_subraca,regiao_primaria,regioes_compativeis,status,fonte_base,fonte_url,observacao
FRN00049,Meheir,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00050,Meheiman,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00051,Sudeid,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00052,Bareid,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00053,Qadeir,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00054,Sameid,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00055,Zashar,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00056,Farmen,nome,masculino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00057,Farimal,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00058,Marimal,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00059,Zashira,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00060,Nuramal,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00061,Yashmal,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00062,Yashdil,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00063,Marilil,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00064,Faridil,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00065,Nuralil,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00066,Nuradil,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00067,Sahpora,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00068,Farilil,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00069,Zashina,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00070,Zashara,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00071,Taladil,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00072,Talalil,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00073,Jaspora,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00074,Maridil,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00075,Talamal,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00076,Yashlil,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00077,Zashmal,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00078,Zashlil,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00079,Zashdil,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00080,Yashina,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00081,Meipora,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00082,Ceipora,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00083,Zashaya,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
FRN00084,Yashira,nome,feminino,Humano,Calishita,Calimshan,Lands of Intrigue; Lake of Steam; Tethyr (diáspora),gerado_compativel,D&D Basic Rules 2014 — Human Names and Ethnicities,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/races,Nome gerado por padrão fonético/morfológico inspirado nas listas citadas; não é nome canônico atestado.
