modulo,responsabilidade,visibilidade_jogador,rotulo_jogador,indicadores_especializados,avaliacao_ativacao,chamadas_detectadas,turnos_detectados,oportunidades_elegiveis,precisao_consulta,cobertura_consulta,precisao_efeito,recall_efeito,input_tokens_expostos_nao_aditivos,tokens_totais_atribuidos_fracionados,tokens_uncached_atribuidos_fracionados_aprox,participacao_tokens_fracionados_pct,latencia_exposta_mediana_segundos,latencia_exposta_p90_segundos,taxa_proxy_par_cronica_exato,nota_calibracao_0a100,nota_eficacia_integridade_0a100,nota_confiabilidade_proxy_0a100,nota_economia_0a100,nota_fluidez_exposta_0a100,nota_jogador_0a100,nota_desempenho_provisoria_0a100,faixa_desempenho,prioridade_rank,prioridade_faixa,pontuacao_prioridade_0a10,principais_problemas_de_ativacao,justificativa_prioridade,confianca_inferencia_semantica,confianca_amostra_sessao,evidencias
canon_bridge,Permitir que uma sidequest aceita produza ponte causal para a espinha canônica sem editar o cânone-base nem controlar Ren.,reservada,Integração das missões com a trama principal,"[""evidencia_da_ponte"", ""hipotese_promovida"", ""vazamento_canonico""]",sobreativou,13,7,,,,,,15444203,1560798,67989,3.6871,271.214,687.962,0.0,50.0,75.0,0.0,55.0,19.78,,48.04,critico,11,media,5.0,"Foi detectado em sete turnos, inclusive investigacao rotineira sem avanco canonico visivel; a ligacao das duas sidequests ao arco de Masao manteve o modulo acoplado a preparos e progressos.","Custo moderado e risco de promover hipotese do jogador a estrutura reservada, mas nao houve vazamento ou trilho explicito na prosa.",media,provisoria,
quest_rewards,"Materializar e aplicar contratos executáveis de recompensa, descoberta ou perda das sidequests.",direta,Coerência das recompensas e descobertas de missões,"[""recompensa_congelada"", ""aplicacao_exatamente_uma_vez"", ""aplicacao_prematura""]",sobreativou,17,5,,,,,,13794074,1283528,23771,3.0321,294.94,725.512,0.0,50.0,75.0,0.0,55.0,18.44,,47.97,critico,12,media,5.0,"Foi observado em cinco turnos apesar de nenhuma sidequest nova chegar ao terminal; parte da ativacao corresponde ao congelamento da recompensa na autoria, mas houve projecao adicional durante aceite e progresso sem efeito visivel.",Custo moderado com pouco impacto direto nesta sessao; os contratos permaneceram consistentes e nenhuma recompensa prematura apareceu.,media,provisoria,
liveness_boundary,Agregar causas já existentes em compressões temporais e produzir recibo de calma ou pressão alcançável.,tecnica,Continuidade do mundo durante passagens de tempo,"[""cobertura_das_causas"", ""calma_justificada"", ""interrupcoes_corretas""]",ativou a contento,5,4,,,,,,8037070,995691,46987,2.3521,308.972,451.011,0.0,90.0,75.0,0.0,55.0,23.01,,59.33,ruim,13,media,5.0,"As oito avaliacoes tiveram cobertura completa, zero modulo ausente e sete calmarias justificadas; houve repeticao por retries e alto custo indireto no turno de sono.","Entregou o comportamento desejado de mundo vivo e calma justificavel, com custo localizado mas sem defeito narrativo proprio.",alta,provisoria,
sidequest_success_reactions,Criar reações causais imutáveis a sucesso ou progresso excepcional sem reabrir a missão nem inventar capacidade adversarial.,direta,Naturalidade das reações ao progresso das missões,"[""gatilho_legitimo"", ""causalidade"", ""duplicacao"", ""reacao_prematura""]",sobreativou,2,2,,,,,,6509730,600336,14677,1.4182,588.261,725.512,0.0,50.0,75.0,0.0,75.0,13.37,,52.13,ruim,14,media,4.0,"Foi detectado em dois turnos embora nenhuma das duas novas missoes tenha sido concluida; uma ativacao parece ligada a estado historico anterior e outra a autoria de Tomas, sem reacao materializada na ficcao.","Baixo custo absoluto, mas sinaliza verificacao prematura ou atribuicao observacional ruidosa.",baixa,baixa,
world_local_incidents,"Avaliar e confirmar incidentes ou microeventos coerentes com entrada, exploração, trânsito ou permanência no local.",direta,Naturalidade dos incidentes e microeventos locais,"[""gatilho_espacial_correto"", ""reserva_e_confirmacao"", ""ausencia_de_reroll""]",ativou a contento,8,4,,,,,,10265480,1322255,25916,3.1236,339.993,451.011,0.0,90.0,90.0,0.0,55.0,22.13,,63.45,ruim,15,media,4.0,"Ativou em sono, transitos e entradas pertinentes; produziu rotina e pequenos atrasos sem fabricar encontro; parte do custo veio de retries de local desconhecido.","Teve retorno diegetico proporcional e nao desviou a investigacao, apesar de algum custo de resolucao de local.",alta,provisoria,
secret_canon,Fazer situações futuras canônicas entrarem no mundo na data correta sem escolher a resposta de Ren nem conceder conhecimento indevido.,reservada,Cronologia reservada da trama,"[""eventos_vencidos_cobertos"", ""cronologia"", ""vazamentos"", ""evento_canonico_noop""]",ativou a contento,5,3,,,,,,9275167,1179991,19027,2.7875,353.921,451.011,0.0,90.0,90.0,0.0,55.0,21.78,,63.43,ruim,16,baixa,4.0,Foi consultado em fronteiras temporais e na retomada do arco principal; nenhuma obrigacao futura foi exposta como fato conhecido por Ren e nenhum evento canonico virou no-op.,"Custo moderado de exposicao, mas comportamento conservador e correto no rollout.",media,provisoria,
canonical_secret_quests,"Projetar oportunidades de quest vindas de causas canônicas reservadas, sem transformar encontro ou afinidade em missão aleatória.",reservada,Oportunidades reservadas da trama,"[""causa_autorizada"", ""ausencia_de_vazamento"", ""oferta_legitima""]",ativou a contento,3,3,,,,,,11573497,1000593,19336,2.3637,687.962,725.512,0.0,90.0,90.0,0.0,75.0,12.63,,67.37,atencao,17,baixa,3.0,Apareceu apenas nos turnos de auditoria de futuro e autoria causal; nao criou oferta por mera presenca nem vazou catalogo reservado; o marcador nao prova que uma quest foi materializada.,"Pouco impacto adverso observado e baixa frequencia, apesar de ocorrer em turnos caros por coativacao.",media,provisoria,
underground_tournament,Gerir a mini-trama temporal do torneio clandestino e sua integração com fronteiras e cenas elegíveis.,reservada,Coerência temporal do torneio clandestino,"[""elegibilidade_temporal"", ""cronologia"", ""ativacoes_sem_relacao""]",sobreativou,2,2,,,,,,5953829,714142,11220,1.687,279.232,353.921,0.0,50.0,90.0,0.0,75.0,27.7,,57.09,ruim,18,baixa,3.0,"Foi detectado em dois turnos sem torneio, noite de torneio ou consequencia perceptivel; a ativacao provavelmente veio de marcadores agregados de fronteira e de persistencia, nao de uso narrativo real.","E ruido ou verificacao desnecessaria, mas de baixa frequencia e sem dano ficcional visivel.",baixa,baixa,
concurrent_adversarial_operations,"Comprometer operações adversariais simultâneas, reservar recursos separadamente e preservar consequências de cada frente antes da escolha do jogador.",reservada,Independência das operações adversárias,"[""separacao_das_frentes"", ""recursos_nao_duplicados"", ""independencia_de_ordem""]",ativou a contento,1,1,,,,,,2793381,312085,7983,0.7372,451.011,451.011,0.0,90.0,90.0,0.0,90.0,19.96,,71.11,atencao,19,baixa,2.0,"Apareceu uma vez na fronteira de mundo; nao forjou escolha, nao duplicou recursos e nao vazou informacao; nenhum problema especifico do modulo ficou demonstrado.",Baixo custo atribuido e ausencia de impacto negativo observavel.,media,baixa,
seven_names_migration_regression,Preservar a migração histórica e a regressão ponta a ponta da sidequest Sete Nomes sem retcon ou terminal inventado.,tecnica,Compatibilidade histórica da missão Sete Nomes,"[""contexto_relevante"", ""taxa_de_falso_marcador"", ""preservacao_historica""]",sobreativou,1,1,,,,,,4620090,387308,7322,0.9149,687.962,687.962,0.0,50.0,90.0,0.0,90.0,13.08,,59.62,ruim,20,baixa,2.0,"O marcador surgiu no turno de autoria da missao de Halessa, sem necessidade narrativa aparente; por ser uma regressao historica, pode ser apenas falso positivo da telemetria ao ler metadados integrados.",Frequencia e custo baixos; a baixa confianca impede tratar o marcador como falha funcional forte.,baixa,baixa,
